Local Site Name,County,State,Material,Monthly Measurements,Yearly Measurement Average,Year,Month
FWS Wetland Management District,Becker,MN,AQI,13.58064516,32.78924889,2020,10
FWS Wetland Management District,Becker,MN,AQI,25.0,32.78924889,2020,11
FWS Wetland Management District,Becker,MN,AQI,26.23333333,32.78924889,2020,11
FWS Wetland Management District,Becker,MN,AQI,39.80645161,32.78924889,2020,12
FWS Wetland Management District,Becker,MN,AQI,54.93548387,36.75502238,2021,1
FWS Wetland Management District,Becker,MN,AQI,56.14285714,36.75502238,2021,2
FWS Wetland Management District,Becker,MN,AQI,35.16666667,36.75502238,2021,3
FWS Wetland Management District,Becker,MN,AQI,53.48148148,36.75502238,2021,3
FWS Wetland Management District,Becker,MN,AQI,37.6,36.75502238,2021,4
FWS Wetland Management District,Becker,MN,AQI,49.8,36.75502238,2021,4
FWS Wetland Management District,Becker,MN,AQI,43.22580645,36.75502238,2021,5
FWS Wetland Management District,Becker,MN,AQI,50.48387097,36.75502238,2021,5
FWS Wetland Management District,Becker,MN,AQI,53.85714286,36.75502238,2021,6
FWS Wetland Management District,Becker,MN,AQI,52.26666667,36.75502238,2021,6
FWS Wetland Management District,Becker,MN,AQI,43.09677419,36.75502238,2021,7
FWS Wetland Management District,Becker,MN,AQI,87.74193548,36.75502238,2021,7
FWS Wetland Management District,Becker,MN,AQI,30.73333333,36.75502238,2021,8
FWS Wetland Management District,Becker,MN,AQI,68.92,36.75502238,2021,8
FWS Wetland Management District,Becker,MN,AQI,28.83333333,36.75502238,2021,9
FWS Wetland Management District,Becker,MN,AQI,48.9,36.75502238,2021,9
FWS Wetland Management District,Becker,MN,AQI,27.56666667,36.75502238,2021,10
FWS Wetland Management District,Becker,MN,AQI,49.3,36.75502238,2021,10
FWS Wetland Management District,Becker,MN,AQI,33.61538462,36.75502238,2021,11
FWS Wetland Management District,Becker,MN,AQI,24.80645161,36.75502238,2021,12
FWS Wetland Management District,Becker,MN,AQI,26.74074074,34.9382452,2022,1
FWS Wetland Management District,Becker,MN,AQI,29.08333333,34.9382452,2022,2
FWS Wetland Management District,Becker,MN,AQI,40.2,34.9382452,2022,3
FWS Wetland Management District,Becker,MN,AQI,22.03225806,34.9382452,2022,3
FWS Wetland Management District,Becker,MN,AQI,38.3,34.9382452,2022,4
FWS Wetland Management District,Becker,MN,AQI,17.32,34.9382452,2022,4
FWS Wetland Management District,Becker,MN,AQI,40.96774194,34.9382452,2022,5
FWS Wetland Management District,Becker,MN,AQI,32.51612903,34.9382452,2022,5
FWS Wetland Management District,Becker,MN,AQI,41.8,34.9382452,2022,6
FWS Wetland Management District,Becker,MN,AQI,34.4,34.9382452,2022,6
FWS Wetland Management District,Becker,MN,AQI,33.62068966,34.9382452,2022,7
FWS Wetland Management District,Becker,MN,AQI,29.48387097,34.9382452,2022,7
FWS Wetland Management District,Becker,MN,AQI,30.13043478,34.9382452,2022,8
FWS Wetland Management District,Becker,MN,AQI,26.0,34.9382452,2022,8
FWS Wetland Management District,Becker,MN,AQI,29.34482759,34.9382452,2022,9
FWS Wetland Management District,Becker,MN,AQI,29.0,34.9382452,2022,9
FWS Wetland Management District,Becker,MN,AQI,29.86666667,34.9382452,2022,10
FWS Wetland Management District,Becker,MN,AQI,31.93548387,34.9382452,2022,10
FWS Wetland Management District,Becker,MN,AQI,22.96666667,34.9382452,2022,11
FWS Wetland Management District,Becker,MN,AQI,34.40625,34.9382452,2022,12
FWS Wetland Management District,Becker,MN,AQI,45.43548387,38.7890368,2023,1
FWS Wetland Management District,Becker,MN,AQI,31.60714286,38.7890368,2023,2
FWS Wetland Management District,Becker,MN,AQI,31.83870968,38.7890368,2023,3
FWS Wetland Management District,Becker,MN,AQI,28.08333333,38.7890368,2023,4
FWS Wetland Management District,Becker,MN,AQI,40.23333333,38.7890368,2023,5
FWS Wetland Management District,Becker,MN,AQI,61.71666667,38.7890368,2023,6
FWS Wetland Management District,Becker,MN,AQI,48.22580645,38.7890368,2023,7
FWS Wetland Management District,Becker,MN,AQI,53.12903226,38.7890368,2023,8
FWS Wetland Management District,Becker,MN,AQI,53.41666667,38.7890368,2023,9
FWS Wetland Management District,Becker,MN,AQI,24.29032258,38.7890368,2023,10
FWS Wetland Management District,Becker,MN,AQI,26.43333333,38.7890368,2023,11
FWS Wetland Management District,Becker,MN,AQI,28.58064516,38.7890368,2023,12
FWS Wetland Management District,Becker,MN,AQI,48.48387097,35.8479293,2024,7
FWS Wetland Management District,Becker,MN,AQI,41.12903226,35.8479293,2024,8
FWS Wetland Management District,Becker,MN,AQI,39.33333333,35.8479293,2024,9
FWS Wetland Management District,Becker,MN,AQI,31.64516129,35.8479293,2024,10
FWS Wetland Management District,Becker,MN,AQI,31.58333333,35.8479293,2024,11
Red Lake Nation,Beltrami,MN,AQI,41.48387097,29.15343176,2020,1
Red Lake Nation,Beltrami,MN,AQI,40.03448276,29.15343176,2020,2
Red Lake Nation,Beltrami,MN,AQI,39.83333333,29.15343176,2020,3
Red Lake Nation,Beltrami,MN,AQI,28.06666667,29.15343176,2020,4
Red Lake Nation,Beltrami,MN,AQI,22.74193548,29.15343176,2020,5
Red Lake Nation,Beltrami,MN,AQI,24.82758621,29.15343176,2020,6
Red Lake Nation,Beltrami,MN,AQI,18.36666667,29.15343176,2020,7
Red Lake Nation,Beltrami,MN,AQI,22.40740741,29.15343176,2020,8
Red Lake Nation,Beltrami,MN,AQI,19.46666667,29.15343176,2020,9
Red Lake Nation,Beltrami,MN,AQI,28.96774194,29.15343176,2020,10
Red Lake Nation,Beltrami,MN,AQI,40.96666667,29.15343176,2020,11
Red Lake Nation,Beltrami,MN,AQI,39.22580645,29.15343176,2020,12
Red Lake Nation,Beltrami,MN,AQI,34.19354839,33.26314746,2021,1
Red Lake Nation,Beltrami,MN,AQI,43.88,33.26314746,2021,2
Red Lake Nation,Beltrami,MN,AQI,32.74193548,33.26314746,2021,3
Red Lake Nation,Beltrami,MN,AQI,22.72413793,33.26314746,2021,4
Red Lake Nation,Beltrami,MN,AQI,22.93548387,33.26314746,2021,5
Red Lake Nation,Beltrami,MN,AQI,22.73913043,33.26314746,2021,6
Red Lake Nation,Beltrami,MN,AQI,84.42307692,33.26314746,2021,7
Red Lake Nation,Beltrami,MN,AQI,46.32258065,33.26314746,2021,8
Red Lake Nation,Beltrami,MN,AQI,16.06666667,33.26314746,2021,9
Red Lake Nation,Beltrami,MN,AQI,24.5,33.26314746,2021,10
Red Lake Nation,Beltrami,MN,AQI,32.2,33.26314746,2021,11
Red Lake Nation,Beltrami,MN,AQI,38.4516129,33.26314746,2021,12
Red Lake Nation,Beltrami,MN,AQI,37.19354839,27.48709765,2022,1
Red Lake Nation,Beltrami,MN,AQI,43.85714286,27.48709765,2022,2
Red Lake Nation,Beltrami,MN,AQI,33.03703704,27.48709765,2022,3
Red Lake Nation,Beltrami,MN,AQI,26.56666667,27.48709765,2022,4
Red Lake Nation,Beltrami,MN,AQI,18.66666667,27.48709765,2022,5
Red Lake Nation,Beltrami,MN,AQI,20.23333333,27.48709765,2022,6
Red Lake Nation,Beltrami,MN,AQI,19.16666667,27.48709765,2022,7
Red Lake Nation,Beltrami,MN,AQI,13.61538462,27.48709765,2022,8
Red Lake Nation,Beltrami,MN,AQI,13.13333333,27.48709765,2022,9
Red Lake Nation,Beltrami,MN,AQI,25.90322581,27.48709765,2022,10
Red Lake Nation,Beltrami,MN,AQI,30.90909091,27.48709765,2022,11
Red Lake Nation,Beltrami,MN,AQI,22.93548387,27.48709765,2022,12
Red Lake Nation,Beltrami,MN,AQI,33.09677419,38.7890368,2023,1
Red Lake Nation,Beltrami,MN,AQI,17.39285714,38.7890368,2023,2
Red Lake Nation,Beltrami,MN,AQI,16.12903226,38.7890368,2023,3
Red Lake Nation,Beltrami,MN,AQI,7.538461538,38.7890368,2023,4
Red Lake Nation,Beltrami,MN,AQI,33.20454545,38.7890368,2023,5
Red Lake Nation,Beltrami,MN,AQI,66.86666667,38.7890368,2023,6
Red Lake Nation,Beltrami,MN,AQI,52.61290323,38.7890368,2023,7
Red Lake Nation,Beltrami,MN,AQI,53.14516129,38.7890368,2023,8
Red Lake Nation,Beltrami,MN,AQI,55.88333333,38.7890368,2023,9
Red Lake Nation,Beltrami,MN,AQI,24.03225806,38.7890368,2023,10
Red Lake Nation,Beltrami,MN,AQI,24.4,38.7890368,2023,11
Red Lake Nation,Beltrami,MN,AQI,31.38709677,38.7890368,2023,12
Red Lake Nation,Beltrami,MN,AQI,52.58064516,35.8479293,2024,7
Red Lake Nation,Beltrami,MN,AQI,44.83333333,35.8479293,2024,8
Red Lake Nation,Beltrami,MN,AQI,39.16666667,35.8479293,2024,9
Red Lake Nation,Beltrami,MN,AQI,26.53846154,35.8479293,2024,10
Red Lake Nation,Beltrami,MN,AQI,26.91666667,35.8479293,2024,11
FRANKFORT,Benzie,MN,AQI,40.06666667,41.52610287,2023,3
FRANKFORT,Benzie,MN,AQI,48.16666667,41.52610287,2023,4
FRANKFORT,Benzie,MN,AQI,48.5483871,41.52610287,2023,5
FRANKFORT,Benzie,MN,AQI,46.85185185,41.52610287,2023,6
FRANKFORT,Benzie,MN,AQI,42.30769231,41.52610287,2023,7
FRANKFORT,Benzie,MN,AQI,36.61290323,41.52610287,2023,8
FRANKFORT,Benzie,MN,AQI,37.53333333,41.52610287,2023,9
FRANKFORT,Benzie,MN,AQI,32.16666667,41.52610287,2023,10
FRANKFORT,Benzie,MN,AQI,37.0,38.88350821,2024,2
FRANKFORT,Benzie,MN,AQI,37.48387097,38.88350821,2024,7
FRANKFORT,Benzie,MN,AQI,35.74193548,38.88350821,2024,8
FRANKFORT,Benzie,MN,AQI,41.36666667,38.88350821,2024,9
FRANKFORT,Benzie,MN,AQI,38.67741935,38.88350821,2024,10
Coloma PAW PAW WWTP,Berrien,MN,AQI,41.25806452,41.52610287,2023,3
Coloma PAW PAW WWTP,Berrien,MN,AQI,51.9,41.52610287,2023,4
Coloma PAW PAW WWTP,Berrien,MN,AQI,58.19354839,41.52610287,2023,5
Coloma PAW PAW WWTP,Berrien,MN,AQI,66.5,41.52610287,2023,6
Coloma PAW PAW WWTP,Berrien,MN,AQI,55.80645161,41.52610287,2023,7
Coloma PAW PAW WWTP,Berrien,MN,AQI,45.8,41.52610287,2023,8
Coloma PAW PAW WWTP,Berrien,MN,AQI,36.13793103,41.52610287,2023,9
Coloma PAW PAW WWTP,Berrien,MN,AQI,31.56666667,41.52610287,2023,10
Coloma PAW PAW WWTP,Berrien,MN,AQI,35.0,38.88350821,2024,2
Coloma PAW PAW WWTP,Berrien,MN,AQI,54.28571429,38.88350821,2024,6
Coloma PAW PAW WWTP,Berrien,MN,AQI,48.58064516,38.88350821,2024,7
Coloma PAW PAW WWTP,Berrien,MN,AQI,43.22580645,38.88350821,2024,8
Coloma PAW PAW WWTP,Berrien,MN,AQI,45.43333333,38.88350821,2024,9
Coloma PAW PAW WWTP,Berrien,MN,AQI,39.4516129,38.88350821,2024,10
Coloma PAW PAW WWTP,Berrien,MN,AQI,34.5,38.88350821,2024,11
Fond du Lac Band,Carlton,MN,AQI,10.62962963,32.78924889,2020,1
Fond du Lac Band,Carlton,MN,AQI,8.517241379,32.78924889,2020,2
Fond du Lac Band,Carlton,MN,AQI,37.74193548,32.78924889,2020,3
Fond du Lac Band,Carlton,MN,AQI,10.16129032,32.78924889,2020,3
Fond du Lac Band,Carlton,MN,AQI,39.06666667,32.78924889,2020,4
Fond du Lac Band,Carlton,MN,AQI,5.966666667,32.78924889,2020,4
Fond du Lac Band,Carlton,MN,AQI,38.73333333,32.78924889,2020,5
Fond du Lac Band,Carlton,MN,AQI,6.551724138,32.78924889,2020,5
Fond du Lac Band,Carlton,MN,AQI,38.88461538,32.78924889,2020,6
Fond du Lac Band,Carlton,MN,AQI,11.06666667,32.78924889,2020,6
Fond du Lac Band,Carlton,MN,AQI,29.42857143,32.78924889,2020,7
Fond du Lac Band,Carlton,MN,AQI,8.935483871,32.78924889,2020,7
Fond du Lac Band,Carlton,MN,AQI,29.35714286,32.78924889,2020,8
Fond du Lac Band,Carlton,MN,AQI,3.793103448,32.78924889,2020,8
Fond du Lac Band,Carlton,MN,AQI,26.1,32.78924889,2020,9
Fond du Lac Band,Carlton,MN,AQI,4.666666667,32.78924889,2020,9
Fond du Lac Band,Carlton,MN,AQI,28.16666667,32.78924889,2020,10
Fond du Lac Band,Carlton,MN,AQI,7.0,32.78924889,2020,10
Fond du Lac Band,Carlton,MN,AQI,28.0,32.78924889,2020,11
Fond du Lac Band,Carlton,MN,AQI,16.5,32.78924889,2020,11
Fond du Lac Band,Carlton,MN,AQI,16.51612903,32.78924889,2020,12
Fond du Lac Band,Carlton,MN,AQI,17.09677419,36.75502238,2021,1
Fond du Lac Band,Carlton,MN,AQI,20.67857143,36.75502238,2021,2
Fond du Lac Band,Carlton,MN,AQI,37.06666667,36.75502238,2021,3
Fond du Lac Band,Carlton,MN,AQI,12.4137931,36.75502238,2021,3
Fond du Lac Band,Carlton,MN,AQI,39.88235294,36.75502238,2021,4
Fond du Lac Band,Carlton,MN,AQI,10.2,36.75502238,2021,4
Fond du Lac Band,Carlton,MN,AQI,38.10344828,36.75502238,2021,5
Fond du Lac Band,Carlton,MN,AQI,12.53846154,36.75502238,2021,5
Fond du Lac Band,Carlton,MN,AQI,46.85185185,36.75502238,2021,6
Fond du Lac Band,Carlton,MN,AQI,20.73333333,36.75502238,2021,6
Fond du Lac Band,Carlton,MN,AQI,38.96666667,36.75502238,2021,7
Fond du Lac Band,Carlton,MN,AQI,54.67741935,36.75502238,2021,7
Fond du Lac Band,Carlton,MN,AQI,36.16,36.75502238,2021,8
Fond du Lac Band,Carlton,MN,AQI,35.03225806,36.75502238,2021,8
Fond du Lac Band,Carlton,MN,AQI,32.43333333,36.75502238,2021,9
Fond du Lac Band,Carlton,MN,AQI,12.33333333,36.75502238,2021,9
Fond du Lac Band,Carlton,MN,AQI,23.26666667,36.75502238,2021,10
Fond du Lac Band,Carlton,MN,AQI,6.741935484,36.75502238,2021,10
Fond du Lac Band,Carlton,MN,AQI,6.733333333,36.75502238,2021,11
Fond du Lac Band,Carlton,MN,AQI,11.06451613,36.75502238,2021,12
Fond du Lac Band,Carlton,MN,AQI,11.73333333,34.9382452,2022,1
Fond du Lac Band,Carlton,MN,AQI,11.82142857,34.9382452,2022,2
Fond du Lac Band,Carlton,MN,AQI,37.87096774,34.9382452,2022,3
Fond du Lac Band,Carlton,MN,AQI,4.096774194,34.9382452,2022,3
Fond du Lac Band,Carlton,MN,AQI,36.68421053,34.9382452,2022,4
Fond du Lac Band,Carlton,MN,AQI,1.166666667,34.9382452,2022,4
Fond du Lac Band,Carlton,MN,AQI,38.18518519,34.9382452,2022,5
Fond du Lac Band,Carlton,MN,AQI,4.612903226,34.9382452,2022,5
Fond du Lac Band,Carlton,MN,AQI,35.66666667,34.9382452,2022,6
Fond du Lac Band,Carlton,MN,AQI,12.5,34.9382452,2022,6
Fond du Lac Band,Carlton,MN,AQI,32.57142857,34.9382452,2022,7
Fond du Lac Band,Carlton,MN,AQI,12.90322581,34.9382452,2022,7
Fond du Lac Band,Carlton,MN,AQI,26.04761905,34.9382452,2022,8
Fond du Lac Band,Carlton,MN,AQI,8.04,34.9382452,2022,8
Fond du Lac Band,Carlton,MN,AQI,25.63333333,34.9382452,2022,9
Fond du Lac Band,Carlton,MN,AQI,10.04545455,34.9382452,2022,9
Fond du Lac Band,Carlton,MN,AQI,28.43333333,34.9382452,2022,10
Fond du Lac Band,Carlton,MN,AQI,14.80645161,34.9382452,2022,10
Fond du Lac Band,Carlton,MN,AQI,9.833333333,34.9382452,2022,11
Fond du Lac Band,Carlton,MN,AQI,6.769230769,34.9382452,2022,12
Fond du Lac Band,Carlton,MN,AQI,17.4137931,38.7890368,2023,1
Fond du Lac Band,Carlton,MN,AQI,10.32142857,38.7890368,2023,2
Fond du Lac Band,Carlton,MN,AQI,5.206896552,38.7890368,2023,3
Fond du Lac Band,Carlton,MN,AQI,7.566666667,38.7890368,2023,4
Fond du Lac Band,Carlton,MN,AQI,30.84,38.7890368,2023,5
Fond du Lac Band,Carlton,MN,AQI,67.35,38.7890368,2023,6
Fond du Lac Band,Carlton,MN,AQI,45.87096774,38.7890368,2023,7
Fond du Lac Band,Carlton,MN,AQI,47.12903226,38.7890368,2023,8
Fond du Lac Band,Carlton,MN,AQI,43.56666667,38.7890368,2023,9
Fond du Lac Band,Carlton,MN,AQI,20.51612903,38.7890368,2023,10
Fond du Lac Band,Carlton,MN,AQI,22.76666667,38.7890368,2023,11
Fond du Lac Band,Carlton,MN,AQI,29.74193548,38.7890368,2023,12
Fond du Lac Band,Carlton,MN,AQI,40.09677419,35.8479293,2024,7
Fond du Lac Band,Carlton,MN,AQI,39.03225806,35.8479293,2024,8
Fond du Lac Band,Carlton,MN,AQI,31.63333333,35.8479293,2024,9
Fond du Lac Band,Carlton,MN,AQI,27.32258065,35.8479293,2024,10
Fond du Lac Band,Carlton,MN,AQI,20.0,35.8479293,2024,11
Leech Lake Nation:,Cass,MN,AQI,26.22580645,29.15343176,2020,1
Leech Lake Nation:,Cass,MN,AQI,24.78571429,29.15343176,2020,2
Leech Lake Nation:,Cass,MN,AQI,24.14285714,29.15343176,2020,3
Leech Lake Nation:,Cass,MN,AQI,30.62068966,29.15343176,2020,4
Leech Lake Nation:,Cass,MN,AQI,16.1,29.15343176,2020,5
Leech Lake Nation:,Cass,MN,AQI,17.23333333,29.15343176,2020,6
Leech Lake Nation:,Cass,MN,AQI,14.69565217,29.15343176,2020,7
Leech Lake Nation:,Cass,MN,AQI,17.41935484,29.15343176,2020,8
Leech Lake Nation:,Cass,MN,AQI,18.33333333,29.15343176,2020,9
Leech Lake Nation:,Cass,MN,AQI,18.44,29.15343176,2020,10
Leech Lake Nation:,Cass,MN,AQI,27.7,29.15343176,2020,11
Leech Lake Nation:,Cass,MN,AQI,43.48387097,29.15343176,2020,12
Leech Lake Nation:,Cass,MN,AQI,48.76923077,33.26314746,2021,1
Leech Lake Nation:,Cass,MN,AQI,57.79166667,33.26314746,2021,2
Leech Lake Nation:,Cass,MN,AQI,52.96153846,33.26314746,2021,3
Leech Lake Nation:,Cass,MN,AQI,50.9,33.26314746,2021,4
Leech Lake Nation:,Cass,MN,AQI,55.09677419,33.26314746,2021,5
Leech Lake Nation:,Cass,MN,AQI,55.8,33.26314746,2021,6
Leech Lake Nation:,Cass,MN,AQI,93.87096774,33.26314746,2021,7
Leech Lake Nation:,Cass,MN,AQI,70.22580645,33.26314746,2021,8
Leech Lake Nation:,Cass,MN,AQI,49.46666667,33.26314746,2021,9
Leech Lake Nation:,Cass,MN,AQI,55.12903226,33.26314746,2021,10
Leech Lake Nation:,Cass,MN,AQI,50.93333333,33.26314746,2021,11
Leech Lake Nation:,Cass,MN,AQI,32.4516129,33.26314746,2021,12
Leech Lake Nation:,Cass,MN,AQI,33.9,27.48709765,2022,1
Leech Lake Nation:,Cass,MN,AQI,35.28571429,27.48709765,2022,2
Leech Lake Nation:,Cass,MN,AQI,25.74193548,27.48709765,2022,3
Leech Lake Nation:,Cass,MN,AQI,26.06666667,27.48709765,2022,4
Leech Lake Nation:,Cass,MN,AQI,29.22580645,27.48709765,2022,5
Leech Lake Nation:,Cass,MN,AQI,38.13333333,27.48709765,2022,6
Leech Lake Nation:,Cass,MN,AQI,32.29032258,27.48709765,2022,7
Leech Lake Nation:,Cass,MN,AQI,30.64,27.48709765,2022,8
Leech Lake Nation:,Cass,MN,AQI,30.93333333,27.48709765,2022,9
Leech Lake Nation:,Cass,MN,AQI,45.90322581,27.48709765,2022,10
Leech Lake Nation:,Cass,MN,AQI,29.15,27.48709765,2022,11
Leech Lake Nation:,Cass,MN,AQI,22.35483871,27.48709765,2022,12
Leech Lake Nation:,Cass,MN,AQI,31.48148148,38.7890368,2023,1
Leech Lake Nation:,Cass,MN,AQI,20.10714286,38.7890368,2023,2
Leech Lake Nation:,Cass,MN,AQI,26.61290323,38.7890368,2023,3
Leech Lake Nation:,Cass,MN,AQI,24.16666667,38.7890368,2023,4
Leech Lake Nation:,Cass,MN,AQI,37.51612903,38.7890368,2023,5
Leech Lake Nation:,Cass,MN,AQI,61.63636364,38.7890368,2023,6
Leech Lake Nation:,Cass,MN,AQI,51.32258065,38.7890368,2023,7
Leech Lake Nation:,Cass,MN,AQI,49.35483871,38.7890368,2023,8
Leech Lake Nation:,Cass,MN,AQI,48.15,38.7890368,2023,9
Leech Lake Nation:,Cass,MN,AQI,23.35483871,38.7890368,2023,10
Leech Lake Nation:,Cass,MN,AQI,24.6,38.7890368,2023,11
Leech Lake Nation:,Cass,MN,AQI,30.58064516,38.7890368,2023,12
Leech Lake Nation:,Cass,MN,AQI,49.48387097,35.8479293,2024,7
Leech Lake Nation:,Cass,MN,AQI,42.32258065,35.8479293,2024,8
Leech Lake Nation:,Cass,MN,AQI,36.66666667,35.8479293,2024,9
Leech Lake Nation:,Cass,MN,AQI,30.76,35.8479293,2024,10
Leech Lake Nation:,Cass,MN,AQI,27.25,35.8479293,2024,11
ROSELAKE2 9870 STOLL RD,Clinton,MN,AQI,38.03225806,41.52610287,2023,3
ROSELAKE2 9870 STOLL RD,Clinton,MN,AQI,44.93333333,41.52610287,2023,4
ROSELAKE2 9870 STOLL RD,Clinton,MN,AQI,49.51612903,41.52610287,2023,5
ROSELAKE2 9870 STOLL RD,Clinton,MN,AQI,57.6,41.52610287,2023,6
ROSELAKE2 9870 STOLL RD,Clinton,MN,AQI,43.35483871,41.52610287,2023,7
ROSELAKE2 9870 STOLL RD,Clinton,MN,AQI,34.96153846,41.52610287,2023,8
ROSELAKE2 9870 STOLL RD,Clinton,MN,AQI,29.9,41.52610287,2023,9
